expense_id,project_id,budget_id,category,expense_type,amount,description,vendor,invoice_number,expense_date,approved_by,approval_date,created_date,updated_date
EXP096,PRJ020,BDG097,วัสดุก่อสร้าง,ค่าขนส่ง,344994,วัสดุก่อสร้าง สำหรับ โครงการโรงเรียน แห่งที่ 20,บริษัท QR จำกัด,INV2816-956,2024-12-15,อนงค์ มณีแสง,2024-12-20,2023-08-07,2024-12-24
EXP097,PRJ021,BDG104,ขนส่ง,ค่าบริการ,291046,ค่าบริการ สำหรับ โครงการสะพาน ขยาย 21,บริษัท CD จำกัด,INV4963-835,2024-05-30,สุมาลี ทองดี,2024-06-05,2024-05-13,2024-07-04
EXP098,PRJ021,BDG103,เครื่องจักร,ค่าบริการ,162710,เช่าเครื่องจักร สำหรับ โครงการสะพาน ขยาย 21,บริษัท LM จำกัด,INV4941-684,2024-09-12,อนงค์ มณีแสง,2024-09-13,2024-05-13,2024-07-04
EXP099,PRJ021,BDG105,ค่าใช้จ่ายอื่นๆ,วัสดุก่อสร้าง,108206,ค่าบริการ สำหรับ โครงการสะพาน ขยาย 21,บริษัท VW จำกัด,INV6908-169,2024-11-12,วิชัย รุ่งเรือง,2024-11-18,2024-05-13,2024-07-04
EXP100,PRJ021,BDG101,ค่าแรง,ค่าใช้จ่ายอื่นๆ,214710,ค่าขนส่ง สำหรับ โครงการสะพาน ขยาย 21,บริษัท CD จำกัด,INV7116-359,2024-09-23,วิชัย รุ่งเรือง,2024-09-24,2024-05-13,2024-07-04
EXP101,PRJ021,BDG103,เครื่องจักร,เช่าเครื่องจักร,197220,ค่าแรง สำหรับ โครงการสะพาน ขยาย 21,บริษัท NO จำกัด,INV2698-890,2024-12-13,ประเสริฐ แก้วมี,2024-12-14,2024-05-13,2024-07-04
EXP102,PRJ021,BDG104,ขนส่ง,ค่าบริการ,79945,เช่าเครื่องจักร สำหรับ โครงการสะพาน ขยาย 21,บริษัท RS จำกัด,INV3868-950,2024-06-06,อนงค์ มณีแสง,2024-06-09,2024-05-13,2024-07-04
EXP103,PRJ021,BDG105,ค่าใช้จ่ายอื่นๆ,ค่าแรง,374584,ค่าแรง สำหรับ โครงการสะพาน ขยาย 21,บริษัท UV จำกัด,INV2033-833,2024-09-25,อนงค์ มณีแสง,2024-10-01,2024-05-13,2024-07-04
EXP104,PRJ022,BDG107,วัสดุก่อสร้าง,ค่าแรง,163848,วัสดุก่อสร้าง สำหรับ โครงการลานจอดรถ ใหม่ 22,บริษัท DE จำกัด,INV6170-417,2024-05-08,อนงค์ มณีแสง,2024-05-09,2023-09-02,2024-10-09
EXP105,PRJ022,BDG106,ค่าแรง,เช่าเครื่องจักร,437507,วัสดุก่อสร้าง สำหรับ โครงการลานจอดรถ ใหม่ 22,บริษัท EF จำกัด,INV4131-392,2024-10-30,ประเสริฐ แก้วมี,2024-11-03,2023-09-02,2024-10-09
EXP106,PRJ022,BDG107,วัสดุก่อสร้าง,ค่าใช้จ่ายอื่นๆ,462008,เช่าเครื่องจักร สำหรับ โครงการลานจอดรถ ใหม่ 22,บริษัท YZ จำกัด,INV5476-227,2024-02-19,ประเสริฐ แก้วมี,2024-02-26,2023-09-02,2024-10-09
EXP107,PRJ023,BDG114,ขนส่ง,ค่าขนส่ง,476347,ค่าขนส่ง สำหรับ โครงการสนามกีฬา ใหม่ 23,บริษัท DE จำกัด,INV6554-291,2024-08-10,อนงค์ มณีแสง,2024-08-16,2023-03-03,2024-12-27
EXP108,PRJ023,BDG113,เครื่องจักร,ค่าบริการ,372843,เช่าเครื่องจักร สำหรับ โครงการสนามกีฬา ใหม่ 23,บริษัท PQ จำกัด,INV2353-844,2024-09-04,อนงค์ มณีแสง,2024-09-07,2023-03-03,2024-12-27
EXP109,PRJ023,BDG114,ขนส่ง,ค่าแรง,51380,ค่าบริการ สำหรับ โครงการสนามกีฬา ใหม่ 23,บริษัท RS จำกัด,INV5813-428,2024-08-18,วิชัย รุ่งเรือง,2024-08-23,2023-03-03,2024-12-27
EXP110,PRJ023,BDG112,วัสดุก่อสร้าง,เช่าเครื่องจักร,51979,เช่าเครื่องจักร สำหรับ โครงการสนามกีฬา ใหม่ 23,บริษัท DE จำกัด,INV8305-717,2024-07-22,อนงค์ มณีแสง,2024-07-28,2023-03-03,2024-12-27
EXP111,PRJ023,BDG115,ค่าใช้จ่ายอื่นๆ,เช่าเครื่องจักร,97369,ค่าขนส่ง สำหรับ โครงการสนามกีฬา ใหม่ 23,บริษัท OP จำกัด,INV1693-844,2024-10-23,ประเสริฐ แก้วมี,2024-10-27,2023-03-03,2024-12-27
EXP112,PRJ023,BDG114,ขนส่ง,ค่าใช้จ่ายอื่นๆ,332359,วัสดุก่อสร้าง สำหรับ โครงการสนามกีฬา ใหม่ 23,บริษัท AB จำกัด,INV2229-787,2024-08-19,อนงค์ มณีแสง,2024-08-22,2023-03-03,2024-12-27
EXP113,PRJ024,BDG117,วัสดุก่อสร้าง,ค่าแรง,279004,วัสดุก่อสร้าง สำหรับ โครงการโรงพยาบาล ใหม่ 24,บริษัท DE จำกัด,INV3339-969,2024-12-28,อนงค์ มณีแสง,2025-01-03,2023-09-25,2024-10-20
EXP114,PRJ024,BDG118,เครื่องจักร,ค่าแรง,28244,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงพยาบาล ใหม่ 24,บริษัท BC จำกัด,INV7001-470,2024-10-10,อนงค์ มณีแสง,2024-10-11,2023-09-25,2024-10-20
EXP115,PRJ024,BDG120,ค่าใช้จ่ายอื่นๆ,ค่าแรง,307399,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงพยาบาล ใหม่ 24,บริษัท EF จำกัด,INV8371-479,2024-09-28,ประเสริฐ แก้วมี,2024-10-03,2023-09-25,2024-10-20
EXP116,PRJ024,BDG117,วัสดุก่อสร้าง,ค่าบริการ,242752,ค่าแรง สำหรับ โครงการโรงพยาบาล ใหม่ 24,บริษัท RS จำกัด,INV9674-475,2024-12-30,อนงค์ มณีแสง,2024-12-31,2023-09-25,2024-10-20
EXP117,PRJ024,BDG119,ขนส่ง,ค่าแรง,174828,วัสดุก่อสร้าง สำหรับ โครงการโรงพยาบาล ใหม่ 24,บริษัท BC จำกัด,INV1424-853,2024-12-16,สุมาลี ทองดี,2024-12-19,2023-09-25,2024-10-20
EXP118,PRJ025,BDG124,ขนส่ง,วัสดุก่อสร้าง,281447,เช่าเครื่องจักร สำหรับ โครงการอาคารที่พักอาศัย ใหม่ 25,บริษัท RS จำกัด,INV5264-820,2024-11-29,อนงค์ มณีแสง,2024-12-04,2024-07-30,2024-09-16
EXP119,PRJ025,BDG123,เครื่องจักร,ค่าขนส่ง,122496,ค่าแรง สำหรับ โครงการอาคารที่พักอาศัย ใหม่ 25,บริษัท YZ จำกัด,INV3009-238,2024-11-03,วิชัย รุ่งเรือง,2024-11-09,2024-07-30,2024-09-16
EXP120,PRJ025,BDG124,ขนส่ง,ค่าขนส่ง,247000,วัสดุก่อสร้าง สำหรับ โครงการอาคารที่พักอาศัย ใหม่ 25,บริษัท OP จำกัด,INV6236-783,2024-10-05,ประเสริฐ แก้วมี,2024-10-11,2024-07-30,2024-09-16
EXP121,PRJ025,BDG125,ค่าใช้จ่ายอื่นๆ,ค่าบริการ,382003,เช่าเครื่องจักร สำหรับ โครงการอาคารที่พักอาศัย ใหม่ 25,บริษัท CD จำกัด,INV5914-971,2024-09-07,สุมาลี ทองดี,2024-09-12,2024-07-30,2024-09-16
EXP122,PRJ025,BDG123,เครื่องจักร,เช่าเครื่องจักร,383192,ค่าบริการ สำหรับ โครงการอาคารที่พักอาศัย ใหม่ 25,บริษัท TU จำกัด,INV4673-224,2024-10-05,สุมาลี ทองดี,2024-10-12,2024-07-30,2024-09-16
EXP123,PRJ025,BDG122,วัสดุก่อสร้าง,ค่าขนส่ง,425270,วัสดุก่อสร้าง สำหรับ โครงการอาคารที่พักอาศัย ใหม่ 25,บริษัท BC จำกัด,INV6912-667,2024-09-26,ประเสริฐ แก้วมี,2024-09-28,2024-07-30,2024-09-16
EXP124,PRJ026,BDG128,เครื่องจักร,ค่าบริการ,431350,วัสดุก่อสร้าง สำหรับ โครงการลานจอดรถ ขยาย 26,บริษัท UV จำกัด,INV2077-416,2024-10-13,อนงค์ มณีแสง,2024-10-15,2023-08-13,2024-12-24
EXP125,PRJ026,BDG130,ค่าใช้จ่ายอื่นๆ,ค่าบริการ,385879,ค่าขนส่ง สำหรับ โครงการลานจอดรถ ขยาย 26,บริษัท HI จำกัด,INV7708-943,2024-11-25,วิชัย รุ่งเรือง,2024-11-29,2023-08-13,2024-12-24
EXP126,PRJ026,BDG129,ขนส่ง,วัสดุก่อสร้าง,75707,ค่าขนส่ง สำหรับ โครงการลานจอดรถ ขยาย 26,บริษัท TU จำกัด,INV8632-796,2024-08-14,ประเสริฐ แก้วมี,2024-08-20,2023-08-13,2024-12-24
EXP127,PRJ026,BDG128,เครื่องจักร,ค่าบริการ,77284,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการลานจอดรถ ขยาย 26,บริษัท ZA จำกัด,INV3981-886,2024-12-23,สุมาลี ทองดี,2024-12-30,2023-08-13,2024-12-24
EXP128,PRJ026,BDG128,เครื่องจักร,วัสดุก่อสร้าง,236816,วัสดุก่อสร้าง สำหรับ โครงการลานจอดรถ ขยาย 26,บริษัท OP จำกัด,INV9488-256,2024-09-30,ประเสริฐ แก้วมี,2024-10-07,2023-08-13,2024-12-24
EXP129,PRJ026,BDG127,วัสดุก่อสร้าง,ค่าใช้จ่ายอื่นๆ,96327,ค่าแรง สำหรับ โครงการลานจอดรถ ขยาย 26,บริษัท AB จำกัด,INV6669-631,2024-07-05,ประเสริฐ แก้วมี,2024-07-08,2023-08-13,2024-12-24
EXP130,PRJ027,BDG132,วัสดุก่อสร้าง,ค่าบริการ,141389,เช่าเครื่องจักร สำหรับ โครงการลานจอดรถ ใหม่ 27,บริษัท ST จำกัด,INV3050-740,2024-07-04,ประเสริฐ แก้วมี,2024-07-10,2024-03-31,2024-06-11
EXP131,PRJ027,BDG131,ค่าแรง,ค่าบริการ,332137,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการลานจอดรถ ใหม่ 27,บริษัท JK จำกัด,INV3762-706,2024-09-28,สุมาลี ทองดี,2024-09-29,2024-03-31,2024-06-11
EXP132,PRJ027,BDG134,ขนส่ง,ค่าใช้จ่ายอื่นๆ,99758,ค่าบริการ สำหรับ โครงการลานจอดรถ ใหม่ 27,บริษัท GH จำกัด,INV6531-962,2024-10-30,วิชัย รุ่งเรือง,2024-11-04,2024-03-31,2024-06-11
EXP133,PRJ028,BDG140,ค่าใช้จ่ายอื่นๆ,ค่าบริการ,52584,เช่าเครื่องจักร สำหรับ โครงการโรงเรียน ขยาย 28,บริษัท EF จำกัด,INV4453-885,2024-09-12,อนงค์ มณีแสง,2024-09-18,2023-02-22,2024-09-18
EXP134,PRJ028,BDG140,ค่าใช้จ่ายอื่นๆ,ค่าขนส่ง,334066,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงเรียน ขยาย 28,บริษัท VW จำกัด,INV9938-396,2024-11-27,ประเสริฐ แก้วมี,2024-11-28,2023-02-22,2024-09-18
EXP135,PRJ028,BDG140,ค่าใช้จ่ายอื่นๆ,ค่าใช้จ่ายอื่นๆ,263202,ค่าขนส่ง สำหรับ โครงการโรงเรียน ขยาย 28,บริษัท FG จำกัด,INV5873-564,2024-10-08,วิชัย รุ่งเรือง,2024-10-15,2023-02-22,2024-09-18
EXP136,PRJ029,BDG143,เครื่องจักร,ค่าขนส่ง,41411,ค่าขนส่ง สำหรับ โครงการอาคารสำนักงาน แห่งที่ 29,บริษัท VW จำกัด,INV8609-308,2024-10-29,ประเสริฐ แก้วมี,2024-11-02,2024-03-13,2024-12-19
EXP137,PRJ029,BDG141,ค่าแรง,ค่าใช้จ่ายอื่นๆ,328064,เช่าเครื่องจักร สำหรับ โครงการอาคารสำนักงาน แห่งที่ 29,บริษัท KL จำกัด,INV6658-508,2024-10-27,สุมาลี ทองดี,2024-10-30,2024-03-13,2024-12-19
EXP138,PRJ029,BDG143,เครื่องจักร,ค่าบริการ,408807,วัสดุก่อสร้าง สำหรับ โครงการอาคารสำนักงาน แห่งที่ 29,บริษัท NO จำกัด,INV6228-347,2024-11-25,อนงค์ มณีแสง,2024-11-30,2024-03-13,2024-12-19
EXP139,PRJ029,BDG141,ค่าแรง,ค่าแรง,74236,ค่าแรง สำหรับ โครงการอาคารสำนักงาน แห่งที่ 29,บริษัท FG จำกัด,INV2586-151,2024-11-12,ประเสริฐ แก้วมี,2024-11-16,2024-03-13,2024-12-19
EXP140,PRJ029,BDG145,ค่าใช้จ่ายอื่นๆ,ค่าแรง,211405,ค่าแรง สำหรับ โครงการอาคารสำนักงาน แห่งที่ 29,บริษัท YZ จำกัด,INV6364-691,2024-12-26,ประเสริฐ แก้วมี,2024-12-30,2024-03-13,2024-12-19
EXP141,PRJ029,BDG145,ค่าใช้จ่ายอื่นๆ,ค่าบริการ,109527,ค่าขนส่ง สำหรับ โครงการอาคารสำนักงาน แห่งที่ 29,บริษัท FG จำกัด,INV9171-415,2024-10-29,อนงค์ มณีแสง,2024-11-02,2024-03-13,2024-12-19
EXP142,PRJ029,BDG145,ค่าใช้จ่ายอื่นๆ,ค่าบริการ,22151,ค่าขนส่ง สำหรับ โครงการอาคารสำนักงาน แห่งที่ 29,บริษัท CD จำกัด,INV4944-320,2024-10-20,ประเสริฐ แก้วมี,2024-10-24,2024-03-13,2024-12-19
EXP143,PRJ029,BDG144,ขนส่ง,ค่าขนส่ง,35510,ค่าบริการ สำหรับ โครงการอาคารสำนักงาน แห่งที่ 29,บริษัท IJ จำกัด,INV8710-392,2024-10-15,วิชัย รุ่งเรือง,2024-10-18,2024-03-13,2024-12-19
EXP144,PRJ030,BDG147,วัสดุก่อสร้าง,ค่าใช้จ่ายอื่นๆ,235930,เช่าเครื่องจักร สำหรับ โครงการโรงพยาบาล แห่งที่ 30,บริษัท WX จำกัด,INV7606-474,2024-09-11,วิชัย รุ่งเรือง,2024-09-14,2023-02-12,2024-10-25
EXP145,PRJ030,BDG146,ค่าแรง,ค่าบริการ,220020,ค่าแรง สำหรับ โครงการโรงพยาบาล แห่งที่ 30,บริษัท TU จำกัด,INV6939-666,2024-08-21,ประเสริฐ แก้วมี,2024-08-26,2023-02-12,2024-10-25
EXP146,PRJ030,BDG146,ค่าแรง,ค่าขนส่ง,48551,ค่าบริการ สำหรับ โครงการโรงพยาบาล แห่งที่ 30,บริษัท UV จำกัด,INV5582-945,2024-11-14,วิชัย รุ่งเรือง,2024-11-19,2023-02-12,2024-10-25
